Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
28,none,none,none,,none,10.11,3.98,-0.85,0.56,-0.58,1.48,-0.26,0.55,-0.09,-0.36,-1.17,-1.23,-0.14,0.32,0.25,0.38,0.03,-0.1,-0.04,-0.24,0.53,0.59,-0.09,0.1,-0.18,-0.75,0.01,-0.07,0.01,-0.09,-0.08,-0.24,-0.08,0.13,0.08,-0.01,0.03,0.09,-0.1,0.17,0.03,-0.04,0.03,-0.02,-0.01
29,none,none,none,,none,10.3,3.62,-0.91,0.05,-0.51,1.41,-0.62,0.59,-0.92,-0.16,-1.43,-1.42,-0.27,0.59,0.17,1.0,0.05,0.51,-0.43,0.2,-0.15,-0.07,0.12,0.41,-0.19,-0.53,-0.17,0.25,-0.0,-0.42,-0.08,-0.3,0.03,-0.08,0.17,0.03,-0.32,0.22,-0.1,0.09,-0.11,-0.08,-0.06,0.07,-0.1
30,-10.254307,174.0,-23.186691,prod1,-12.93,10.44,3.69,-0.93,-0.06,-0.71,1.48,0.23,0.0,-1.17,0.23,-1.0,-1.59,0.67,1.25,0.32,1.88,0.19,0.06,-0.33,-0.56,0.33,-0.32,0.18,-0.35,0.2,-0.09,-0.04,0.12,0.42,0.14,-0.05,0.12,0.02,-0.27,-0.15,-0.22,0.21,0.02,-0.01,-0.1,0.03,-0.24,-0.04,-0.01,0.04
31,-9.593857,174.0,-23.162716,prod1,-13.57,10.51,3.94,-0.97,-0.0,-0.57,1.2,-0.33,0.36,-0.66,-0.18,-1.01,-2.21,0.4,0.88,-0.15,1.73,0.28,0.11,-0.35,-0.89,0.64,-0.11,0.0,0.07,0.11,-0.74,0.05,0.22,-0.28,-0.52,-0.27,-0.11,0.07,0.04,-0.16,0.07,0.17,-0.03,-0.06,0.11,-0.0,-0.08,0.14,-0.06,-0.06
32,-8.811668,116.0,8.733383,prod1,17.55,10.96,4.68,-0.87,0.13,-0.39,0.75,-0.4,0.54,-0.9,-0.08,-1.32,-1.25,0.13,0.79,0.38,0.76,-0.12,0.43,0.14,-0.12,0.33,0.16,0.34,0.25,0.12,-0.17,-0.62,0.24,-0.25,-0.1,-0.17,-0.15,0.11,0.08,-0.14,0.26,-0.17,-0.22,-0.17,-0.08,0.01,-0.19,-0.09,-0.12,-0.04
33,-9.816515,116.0,8.297974,prod1,18.11,9.87,3.59,-0.8,0.18,-0.44,0.75,-0.36,0.34,-0.02,-0.06,-0.78,-0.71,-0.05,0.39,0.34,0.4,0.05,-0.09,-0.59,-0.83,0.56,-0.01,0.12,0.11,0.1,-0.57,-0.17,0.28,-0.28,-0.46,-0.32,0.27,0.08,-0.22,-0.14,-0.26,-0.09,-0.22,-0.2,0.06,0.1,0.04,0.02,-0.02,-0.08
34,-9.774764,116.0,7.6029105,prod1,17.38,10.22,3.81,-0.9,0.29,-0.69,0.91,0.09,0.6,-0.27,0.05,-1.19,-0.88,-0.01,0.66,0.71,0.63,0.07,-0.36,-0.45,-0.48,0.53,0.22,0.64,-0.86,-0.04,-0.73,-0.39,-0.13,-0.15,-0.08,0.09,0.17,0.14,-0.15,-0.14,-0.06,0.09,0.01,0.0,-0.15,0.07,-0.29,-0.05,-0.05,0.02
35,-9.825905,116.0,5.431047,prod1,15.26,10.85,3.56,-0.89,0.32,-0.25,0.82,-0.44,0.68,-0.84,-0.16,-1.78,-1.39,0.48,0.85,0.32,1.22,-0.01,0.18,-0.91,-0.5,0.53,0.37,0.01,0.16,0.05,-0.57,-0.14,0.18,-0.26,-0.14,0.1,0.44,0.01,-0.05,-0.14,0.11,-0.1,-0.15,0.0,-0.1,-0.06,-0.1,0.04,-0.04,0.0
36,-9.821335,116.0,6.993478,prod1,16.81,9.93,3.48,-0.77,0.48,-0.53,1.16,-0.83,0.39,-0.34,-0.79,-1.24,-1.16,-0.18,1.24,-0.1,1.6,0.39,0.35,-0.65,-0.39,0.56,-0.28,0.04,-0.41,0.24,-0.64,-0.19,0.06,0.27,-0.14,0.06,-0.23,0.1,-0.15,-0.14,-0.15,-0.15,-0.19,0.2,0.03,0.21,-0.27,-0.02,0.12,-0.03
37,-9.7798605,116.0,9.759031,prod1,19.54,9.82,3.99,-0.72,0.39,-0.35,0.76,-0.75,0.32,-0.57,0.3,-1.28,-1.11,-0.02,1.05,0.37,1.2,0.06,0.76,-0.25,-0.23,0.79,0.18,0.39,0.13,0.09,-0.07,-0.07,-0.08,-0.11,-0.38,0.32,-0.05,-0.03,0.05,-0.09,0.12,-0.09,-0.16,0.0,0.03,-0.11,-0.2,-0.08,0.08,-0.09
38,none,none,none,,none,9.77,4.14,-0.81,0.04,-0.63,1.15,-0.49,0.38,-0.76,-0.07,-0.82,-1.59,0.32,1.29,0.22,1.19,-0.19,0.36,-0.11,-0.75,0.49,0.26,-0.0,0.24,0.51,-0.73,-0.4,-0.25,-0.55,-0.26,-0.11,0.11,0.12,-0.02,-0.06,-0.37,-0.15,0.03,-0.07,-0.06,-0.08,-0.16,0.05,-0.07,-0.07
39,-10.344972,84.0,-27.757448,prod1,-17.41,10.74,3.87,-0.85,0.38,-0.24,1.55,0.01,0.6,-0.27,-0.42,-1.73,-1.39,0.34,0.98,0.33,0.55,-0.66,-0.0,-0.01,-0.98,0.91,-0.09,-0.15,-0.5,0.44,-0.91,-0.71,0.15,-0.08,0.47,0.27,-0.03,0.1,0.18,-0.16,-0.17,0.07,-0.15,0.08,-0.05,0.06,-0.17,0.07,-0.1,-0.1
40,-10.325972,116.0,11.111467,prod1,21.44,10.57,3.59,-0.97,0.7,-0.59,0.76,-0.78,0.19,-0.51,-0.23,-1.32,-1.21,-0.03,1.03,0.54,0.92,-0.22,-0.33,-0.28,-0.5,0.61,-0.34,0.05,-0.63,0.09,-0.68,-0.44,0.12,-0.04,-0.4,-0.04,0.27,0.27,0.07,-0.15,0.09,-0.36,-0.18,-0.11,-0.16,-0.16,-0.21,0.02,0.05,-0.01
41,-9.699659,116.0,5.972729,prod1,15.67,9.69,3.34,-1.03,0.59,-0.46,0.5,-0.73,0.81,-0.11,-0.09,-0.6,-0.21,0.41,-0.18,0.16,0.26,-0.78,-0.43,-0.48,-0.78,-0.03,0.3,0.3,0.67,-0.19,-0.3,0.08,-0.02,-0.19,-0.4,-0.24,-0.24,0.28,0.22,0.09,-0.12,-0.1,0.05,0.06,-0.16,-0.08,-0.11,0.08,0.14,-0.07
42,none,none,none,,none,10.77,3.68,-0.99,0.38,-0.65,0.3,-0.64,0.75,-0.15,-0.62,-0.53,-0.58,-0.11,0.41,0.39,0.3,-0.41,-0.19,-0.06,-0.14,0.23,0.58,-0.25,0.46,-0.19,-0.4,-0.07,0.04,-0.22,-0.14,0.18,-0.16,0.09,-0.08,0.0,0.08,-0.27,-0.09,-0.25,-0.06,-0.25,-0.07,0.07,0.0,-0.01
43,none,none,none,,none,11.2,3.66,-0.98,0.55,-0.61,0.37,-0.94,0.52,-0.01,-0.53,-0.85,0.12,0.01,0.08,0.34,-0.16,-0.53,-0.24,-0.11,0.09,0.76,0.57,-0.3,0.6,-0.29,-0.72,-0.07,0.25,0.02,-0.22,-0.31,-0.06,0.15,-0.08,-0.19,0.02,-0.1,-0.17,-0.35,0.39,-0.07,0.1,-0.07,0.02,0.09
44,-10.018276,174.0,-23.124878,prod1,-13.11,11.17,3.73,-0.96,0.59,-0.79,0.24,-0.48,0.69,0.17,-0.44,-0.93,-0.74,-0.57,0.06,0.21,1.02,-0.66,-0.28,-0.23,-0.25,0.14,0.42,-0.29,0.28,-0.09,-0.34,-0.33,-0.02,-0.43,0.02,-0.06,-0.09,0.15,-0.01,-0.08,0.06,-0.04,-0.18,-0.17,-0.0,0.01,-0.09,-0.0,-0.07,-0.03
45,-9.704669,120.0,-26.826212,prod1,-17.12,10.17,3.81,-0.93,0.75,-0.25,0.67,-0.59,0.29,0.34,-0.2,-1.34,-0.5,-0.03,-0.59,0.06,0.1,-0.35,-0.58,-0.27,0.42,-0.4,0.15,0.49,0.31,-0.42,-0.72,-0.47,-0.28,-0.11,-0.47,-0.19,0.01,0.2,-0.05,-0.01,0.42,-0.25,-0.03,-0.31,-0.16,-0.14,-0.24,0.03,-0.07,-0.02
