Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
21,-6.9072933,7.0,-13.6544075,prod1,-6.75,11.22,3.85,-0.95,0.4,-2.71,0.82,0.39,-0.39,1.29,0.48,0.15,0.73,0.73,0.82,-0.13,0.32,0.39,0.5,0.64,0.25,-0.23,-0.81,0.1,-0.03,-0.58,0.09,0.75,0.57,0.02,0.19,0.06,0.57,0.48,0.03,-0.17,-0.16,-0.29,-0.06,0.2,-0.28,0.2,0.01,-0.06,0.08,0.07
22,-7.098868,7.0,-12.172919,prod1,-5.07,12.72,4.31,-1.11,0.41,-2.63,0.52,0.8,-0.62,0.86,1.0,-0.22,0.06,1.15,0.27,0.37,-0.08,0.01,0.82,0.8,-0.01,-0.18,-0.32,0.19,-0.01,-0.55,0.43,0.55,0.68,-0.21,0.25,-0.13,0.45,0.07,-0.36,-0.35,-0.22,-0.37,0.21,0.18,-0.44,0.46,0.19,-0.17,0.08,0.07
23,-7.18998,7.0,-14.244369,prod1,-7.05,12.0,4.58,-0.7,0.2,-2.53,1.34,0.08,0.08,0.61,1.98,-0.26,-0.39,1.03,0.82,0.01,0.38,0.32,1.03,0.44,-0.3,0.1,-0.32,-0.1,-0.73,0.13,0.58,-0.31,0.12,-0.54,0.08,0.24,-0.02,0.22,-0.18,-0.25,0.18,-0.13,-0.05,0.14,0.05,0.02,0.01,-0.03,0.05,-0.02
24,-6.9370313,7.0,-15.056278,prod1,-8.12,11.38,4.19,-0.91,0.1,-2.71,1.11,0.73,-0.18,0.81,1.72,0.1,0.5,1.25,1.44,-0.3,0.17,0.28,0.67,0.2,-0.14,0.31,-0.77,0.33,0.32,0.54,-0.02,-0.08,0.19,0.75,0.33,-0.41,-0.12,-0.26,-0.22,0.06,-0.07,-0.31,-0.06,-0.27,0.19,-0.05,-0.03,-0.0,-0.08,0.02
25,-7.3501544,7.0,-13.0283,prod1,-5.68,12.37,4.16,-0.85,0.3,-2.87,2.14,0.91,0.16,0.85,2.39,-0.78,-0.77,2.33,0.74,0.16,-0.35,-0.99,-1.07,0.68,0.5,-0.31,0.72,-0.17,-0.39,0.23,-0.17,-0.62,0.69,-0.36,0.75,0.34,0.13,0.1,0.54,-0.19,-0.52,0.13,0.12,-0.05,0.01,-0.07,0.09,-0.18,0.0,0.08
26,-6.8079634,7.0,-12.935937,prod1,-6.13,11.99,3.73,-0.78,0.12,-2.43,1.83,0.15,-0.52,1.11,1.55,-0.95,-0.78,1.64,1.05,-0.71,0.25,-0.15,-0.22,0.5,0.14,-0.51,0.5,-0.24,0.19,-0.48,0.17,-0.26,-0.05,-0.25,0.43,0.44,0.17,0.08,0.27,-0.09,0.24,-0.18,-0.18,0.23,-0.22,0.03,-0.24,0.01,0.1,-0.03
27,-6.831675,7.0,-13.053348,prod1,-6.22,11.99,4.44,-0.88,0.35,-2.82,1.87,0.31,-0.53,1.2,1.81,-1.33,-0.81,1.96,-0.04,0.05,0.19,-0.28,-0.79,0.79,0.53,-0.95,0.58,0.28,0.4,-0.48,-0.23,-0.46,0.21,-0.36,0.68,0.29,0.45,-0.12,0.27,-0.06,0.11,0.03,0.09,0.05,-0.11,-0.02,-0.06,0.06,0.11,-0.07
28,-7.0150404,7.0,-14.605681,prod1,-7.59,10.7,3.74,-0.78,0.06,-2.37,1.06,0.24,-0.59,1.16,0.97,-0.7,-0.43,1.58,0.33,0.03,0.51,-0.32,-0.15,-0.27,0.63,0.2,-0.41,-0.02,0.46,-0.13,-0.51,0.23,0.35,-0.44,0.22,-0.14,0.2,-0.28,0.42,-0.22,-0.26,-0.11,-0.18,0.11,-0.25,-0.09,-0.1,0.01,-0.06,0.05
29,-7.7148137,7.0,-14.268455,prod1,-6.55,11.83,3.75,-0.8,0.18,-2.23,1.98,0.7,-0.3,0.56,1.37,-1.31,-1.02,2.11,0.97,-0.7,0.81,0.28,-0.4,-0.02,0.1,-0.19,-0.35,-0.33,-0.33,0.24,0.03,0.16,0.6,-0.67,0.67,0.11,0.35,-0.18,0.25,0.07,0.01,0.08,0.0,-0.06,-0.38,0.13,-0.01,-0.07,-0.06,-0.07
30,-7.144124,7.0,-13.177556,prod1,-6.03,11.68,4.08,-0.78,0.74,-2.8,1.47,-0.13,-0.42,1.24,1.76,-0.02,-0.26,1.57,0.88,-0.45,0.1,-0.39,-0.43,0.4,0.72,-0.98,-0.0,0.04,0.46,-0.19,0.1,-0.1,-0.06,-0.5,0.28,0.12,0.01,0.56,-0.05,0.18,0.1,-0.12,-0.29,0.19,0.09,-0.07,-0.01,0.06,0.12,-0.08
31,-7.01219,7.0,-16.065126,prod1,-9.05,11.82,3.93,-0.79,0.58,-2.48,1.75,0.14,0.36,0.99,1.46,0.07,-0.04,1.46,0.82,0.19,0.27,0.47,-0.34,-0.21,-0.09,0.01,-0.48,-0.11,0.03,-0.26,-0.21,0.09,0.05,-0.51,0.05,-0.04,0.2,-0.05,0.03,-0.09,0.33,-0.42,-0.15,0.08,-0.06,-0.04,0.06,0.05,-0.03,-0.01
32,-6.7270756,7.0,-14.253098,prod1,-7.53,12.22,4.65,-0.78,0.25,-2.49,1.21,0.06,-0.57,1.31,1.11,-0.44,-0.92,0.97,1.28,-0.57,-0.58,0.36,-0.03,0.76,0.75,-0.71,0.33,-0.03,0.33,-0.45,-0.06,-0.38,0.11,-0.53,-0.09,0.13,0.34,0.18,-0.15,-0.23,0.2,-0.53,-0.05,-0.0,-0.04,-0.19,-0.13,0.01,-0.05,-0.03
33,-7.484815,7.0,-18.285452,prod1,-10.8,11.9,3.92,-0.64,0.44,-3.03,2.05,0.15,-0.16,1.05,1.47,-0.41,-0.78,1.13,1.37,-0.1,0.67,-0.25,0.35,-0.01,-0.23,0.09,-0.25,0.28,-0.08,-0.09,-0.26,-0.13,0.14,-0.59,0.32,0.34,-0.1,0.17,-0.39,-0.13,-0.05,0.16,-0.25,-0.0,-0.03,0.13,0.01,-0.03,-0.07,-0.01
34,-7.541667,7.0,-21.873156,prod1,-14.33,11.46,5.04,-0.53,0.52,-2.91,2.01,0.01,-0.22,2.07,1.26,-0.4,-1.27,1.68,0.98,-0.24,0.9,0.09,0.2,0.39,0.48,-0.35,-0.03,0.16,-0.09,0.15,0.2,-0.48,0.38,-0.73,0.24,0.15,0.42,-0.04,0.17,0.09,0.26,-0.27,-0.17,-0.08,-0.08,-0.14,-0.07,-0.09,0.13,-0.07
35,-6.999692,7.0,-23.601625,prod1,-16.6,11.64,3.56,-0.72,0.19,-2.67,1.78,0.31,-0.17,0.75,2.12,-0.29,-0.94,1.83,0.82,-0.93,0.38,-0.6,-0.88,0.08,0.39,-0.8,-0.16,-0.53,0.09,0.03,-0.15,0.21,0.5,-0.42,0.81,0.14,0.29,-0.06,0.6,-0.01,-0.0,0.04,-0.16,-0.15,-0.06,-0.21,-0.15,-0.1,0.04,0.04
36,-6.5917053,7.0,-20.18874,prod1,-13.6,10.49,3.73,-0.79,0.63,-2.44,1.81,0.73,-0.27,1.1,1.01,0.32,-0.6,0.95,0.62,-0.24,1.66,-0.51,-0.24,-0.34,0.05,0.34,-0.54,-0.03,0.5,0.25,-0.27,-0.11,0.38,-0.46,-0.39,0.04,0.2,-0.14,0.28,0.12,-0.45,-0.29,-0.14,-0.14,0.07,0.1,-0.08,-0.12,-0.02,0.02
37,-7.1992617,7.0,-21.308617,prod1,-14.11,11.13,3.51,-0.82,0.46,-2.59,1.28,0.02,0.0,1.45,1.05,1.37,-0.16,0.74,0.46,-0.44,2.38,0.0,-0.15,-0.63,0.39,-0.4,0.44,0.18,0.58,-0.06,0.1,0.35,0.26,-0.04,0.28,0.23,0.45,-0.15,0.11,-0.1,0.36,0.29,-0.25,-0.12,-0.06,-0.2,-0.01,-0.06,-0.17,0.1
38,-7.5800085,25.0,-22.143349,prod1,-14.56,10.11,3.95,-0.78,0.78,-2.78,1.31,0.02,-0.28,1.02,0.96,1.3,0.27,0.47,0.87,-0.42,1.47,0.06,-0.1,0.1,0.21,-0.03,0.55,-0.4,0.49,-0.12,0.18,0.25,-0.11,-0.16,-0.07,-0.11,0.08,-0.09,0.31,0.11,-0.25,0.29,-0.16,0.19,0.13,0.19,0.13,0.06,0.09,0.11
39,none,none,none,,none,11.06,4.01,-0.67,0.59,-2.73,1.67,0.46,-0.14,1.69,1.12,1.12,-0.27,-0.02,1.4,-0.28,0.78,0.09,-0.07,0.39,0.92,-0.36,0.52,-0.04,-0.27,-0.27,-0.25,-0.05,0.26,-0.06,-0.07,0.61,0.18,0.04,-0.08,-0.23,-0.01,-0.22,-0.27,0.11,-0.03,-0.19,-0.13,-0.01,-0.0,-0.02
40,none,none,none,,none,10.61,3.53,-0.84,0.62,-2.88,1.28,0.21,-0.26,0.64,1.42,1.31,0.1,0.56,0.27,-0.09,1.27,-0.42,-0.4,-0.12,0.14,-0.4,-0.41,0.02,-0.43,0.1,-0.0,-0.12,0.54,0.29,-0.06,0.39,-0.03,-0.6,-0.21,0.14,0.1,0.09,-0.11,-0.42,0.05,-0.25,-0.08,0.13,-0.06,-0.1
41,none,none,none,,none,10.55,3.94,-0.81,0.59,-2.98,1.75,0.52,-0.19,1.27,1.4,1.13,0.46,1.24,0.36,-0.48,1.45,-0.03,-0.49,-0.22,-0.0,-0.26,-0.34,0.32,0.69,0.24,-0.05,0.19,0.26,-0.48,-0.05,-0.03,0.1,-0.05,-0.25,0.25,-0.27,0.12,-0.39,-0.03,0.17,-0.11,0.1,0.07,0.01,0.04
42,none,none,none,,none,12.06,3.85,-0.94,0.87,-2.44,1.62,0.27,0.36,1.43,1.54,1.54,-0.05,0.75,0.73,-0.75,1.33,0.08,-0.16,0.02,0.12,-0.33,0.76,-0.29,-0.16,-0.3,-0.28,0.18,0.14,-0.53,0.28,-0.01,-0.04,-0.02,0.17,-0.07,0.29,0.03,0.21,-0.17,0.03,-0.17,-0.04,-0.01,-0.11,0.0
43,none,none,none,,none,12.57,4.02,-0.99,0.76,-2.52,1.2,0.23,0.71,0.43,0.6,1.32,0.06,0.17,0.48,-0.75,1.6,-0.0,0.26,-0.85,0.09,-0.25,0.76,-0.3,-0.25,-0.15,-0.17,-0.03,0.2,-0.18,0.01,-0.72,0.12,-0.19,-0.05,-0.29,0.33,-0.03,-0.1,0.09,0.15,0.06,0.22,0.04,-0.11,0.12
44,none,none,none,,none,11.99,4.24,-0.84,0.41,-2.54,1.15,0.6,0.65,0.9,1.47,1.09,-0.17,0.48,0.91,-0.04,0.85,-0.31,-0.53,-0.19,-0.26,-0.78,0.4,-0.19,0.34,-0.12,-0.59,-0.27,0.34,-0.54,0.28,-0.19,0.45,-0.2,-0.02,-0.19,0.06,-0.14,-0.02,0.05,0.13,-0.04,-0.01,-0.08,0.04,0.04
45,none,none,none,,none,13.15,3.78,-1.16,0.69,-2.97,1.38,0.39,0.62,0.84,1.69,1.48,0.62,1.06,1.83,0.04,0.8,0.62,-0.08,-0.52,0.45,0.2,0.66,-0.32,0.44,-0.15,-0.28,-0.27,0.68,-0.05,0.1,-0.12,0.02,-0.01,-0.05,-0.03,0.11,-0.24,0.45,0.07,0.3,-0.02,0.07,0.12,0.07,-0.15
46,none,none,none,,none,11.71,3.85,-1.02,0.68,-2.72,1.03,0.35,0.12,0.91,1.15,1.66,0.62,0.56,1.36,-0.65,1.76,-0.04,-0.32,-0.24,0.23,-0.51,0.37,0.38,0.15,0.06,-0.29,-0.02,0.44,-0.33,0.22,-0.09,0.35,-0.15,0.15,-0.13,0.23,0.01,-0.25,0.03,-0.12,-0.2,0.1,0.03,-0.03,-0.07
47,none,none,none,,none,11.96,3.64,-0.84,0.2,-2.44,1.41,0.76,0.18,1.02,1.12,1.18,0.4,0.44,1.0,-0.28,1.28,-0.42,-0.14,0.45,0.03,0.11,0.3,-0.6,-0.23,-0.29,0.06,0.49,0.28,0.03,-0.13,0.18,0.1,-0.35,-0.15,-0.22,0.46,-0.16,-0.08,-0.05,-0.05,-0.12,-0.05,-0.05,-0.11,0.0
48,none,none,none,,none,11.7,3.49,-0.91,0.45,-2.7,1.62,0.25,0.55,0.84,1.33,1.25,0.6,-0.0,0.5,0.09,1.26,-0.07,-0.08,-0.23,0.31,-0.35,0.52,-0.03,0.02,0.47,-0.47,0.5,0.61,-0.21,-0.08,-0.12,0.11,0.55,0.15,-0.08,0.61,-0.27,-0.19,0.04,-0.09,0.15,0.12,0.03,-0.11,0.03
49,-7.816305,234.0,13.208256,prod1,21.02,11.82,4.51,-0.88,0.46,-2.81,1.22,0.58,0.09,1.27,1.83,1.58,-0.38,0.58,0.46,-1.13,1.53,0.03,-0.58,0.63,0.3,-0.09,0.61,-0.79,0.11,0.46,-0.28,-0.07,0.21,-0.29,0.68,0.05,-0.1,-0.09,0.38,0.18,0.44,0.15,0.13,-0.07,0.05,-0.26,-0.05,0.07,-0.05,-0.07
50,none,none,none,,none,11.3,4.02,-0.89,0.59,-2.51,1.71,0.06,0.14,1.08,1.2,1.47,-0.15,0.07,0.71,-0.13,1.11,0.25,-0.33,-0.18,-0.04,-0.0,0.47,-0.36,-0.1,0.49,-0.72,-0.32,0.32,0.64,0.43,-0.24,0.16,-0.57,-0.19,0.04,0.17,-0.11,0.09,0.13,0.25,-0.09,0.1,0.08,0.08,-0.03
51,none,none,none,,none,11.68,4.12,-0.84,0.46,-2.77,1.67,0.15,0.39,1.51,0.84,1.3,-0.34,0.31,1.16,-0.29,2.18,0.08,0.1,-0.26,0.21,0.28,0.55,-0.35,0.14,-0.02,-0.5,-0.67,0.34,-0.1,0.38,-0.25,-0.01,0.07,0.32,0.22,0.36,0.01,0.19,-0.09,0.0,0.2,-0.12,0.05,-0.08,-0.06
52,-8.027207,63.0,-22.835445,prod1,-14.81,12.13,3.93,-0.89,1.25,-1.98,1.41,-0.08,0.68,1.63,0.85,1.59,0.16,0.79,1.38,-0.89,1.11,-0.18,-0.14,-0.3,0.61,0.03,0.23,-0.32,0.48,-0.35,-0.3,-0.16,0.7,-0.33,0.25,-0.13,0.02,0.28,0.18,0.03,0.21,0.0,0.19,-0.31,0.16,0.26,-0.08,0.19,0.08,-0.09
53,none,none,none,,none,11.64,4.34,-0.78,0.64,-2.71,1.37,-0.22,0.37,1.43,1.06,1.22,0.11,0.54,1.83,-0.24,0.8,0.0,0.23,0.76,0.71,0.1,0.25,-0.89,0.23,-0.27,-0.35,0.35,0.36,-0.58,0.16,-0.03,0.08,0.1,0.22,-0.01,0.32,0.23,0.0,-0.1,-0.0,0.07,0.16,0.11,-0.03,0.05
54,-7.5324965,234.0,11.058923,prod1,18.59,10.32,3.9,-0.73,0.52,-1.98,1.74,0.13,-0.02,1.22,0.77,1.27,-0.18,0.08,0.78,-0.4,0.77,-0.29,0.48,0.15,0.34,-0.19,0.56,-0.56,0.28,-0.12,-0.18,0.02,0.0,-0.45,-0.22,0.04,0.21,-0.09,0.39,-0.1,0.01,-0.12,0.09,-0.04,-0.18,-0.04,0.14,0.07,0.0,0.11
55,-7.7411,234.0,11.707217,prod1,19.45,10.06,4.22,-0.67,0.5,-2.78,1.27,0.44,-0.22,1.06,1.47,2.18,0.65,0.08,1.63,-0.04,1.25,-0.58,-0.16,0.54,-0.22,-0.61,-0.29,-0.26,0.08,0.01,-0.17,-0.1,0.63,-0.63,-0.38,-0.11,0.19,-0.1,0.33,-0.26,-0.24,-0.09,-0.28,-0.0,-0.09,-0.07,-0.16,0.04,0.09,-0.03
