Frame,Z_coord_n1,na_res,Z_coord_na,prod
1246,-0.48050162,70,-19.060017,prod4
1247,-0.301438,249,-15.05793,prod4
1256,0.6583144,40,-18.573463,prod4
1257,0.5245931,40,-17.622719,prod4
1258,0.3610352,19,-13.674071,prod4
1259,-0.06563805,40,-16.465109,prod4
1260,0.76510537,40,-16.659647,prod4
1261,0.17856383,40,-17.92438,prod4
1262,0.35186833,40,-13.388393,prod4
1285,0.40574735,19,-13.915744,prod4
1288,1.458323,19,-12.237895,prod4
1289,0.33782503,19,-13.461212,prod4
1290,0.9700164,19,-16.629358,prod4
1291,1.0376855,19,-13.85035,prod4
1298,0.19554482,19,-17.111534,prod4
1299,-0.27402416,19,-15.142982,prod4
1300,0.27325237,19,-17.055815,prod4
1305,0.13234474,19,-16.400564,prod4
1312,1.8433245,119,-14.963092,prod4
1316,2.241845,119,-14.529349,prod4
1317,1.4010961,119,-14.722002,prod4
1318,0.88346195,119,-14.076785,prod4
1326,0.54485315,19,-18.006598,prod4
1327,0.31908324,19,-17.403374,prod4
1328,0.532746,19,-18.494808,prod4
1329,0.9033177,19,-16.087896,prod4
1330,0.8311735,19,-15.186709,prod4
1331,0.70567703,19,-16.122608,prod4
1332,0.6701428,19,-16.988165,prod4
1334,0.41823718,19,-19.156189,prod4
1354,1.0431299,19,-15.495984,prod4
1355,1.6186763,19,-16.080849,prod4
1359,1.6867071,19,-15.241035,prod4
1373,3.685406,155,22.073278,prod4
1374,3.5510614,155,18.738203,prod4
1375,3.157449,155,18.98003,prod4
1376,3.2299776,155,17.564695,prod4
1377,3.7934847,155,19.291542,prod4
1378,3.0613916,155,19.489506,prod4
1380,2.3029032,155,20.300705,prod4
1381,2.3538022,155,20.026983,prod4
1382,2.574369,155,17.71755,prod4
1383,2.0468383,155,17.777445,prod4
1384,1.8065217,155,18.047361,prod4
1385,1.4565625,155,17.989893,prod4
1386,0.7173902,155,17.412407,prod4
1387,1.0202627,155,17.344183,prod4
1388,0.48803893,155,16.891424,prod4
1392,1.0339068,155,17.141552,prod4
1393,0.11219161,155,16.280298,prod4
1394,1.2110846,155,16.567196,prod4
1395,0.26104757,155,16.354807,prod4
1397,0.9827077,155,15.210229,prod4
1398,1.2610314,155,15.965468,prod4
1399,0.7335208,155,15.771872,prod4
1400,1.725395,155,16.385519,prod4
1401,1.1907194,155,15.781309,prod4
1402,1.5034037,155,16.219315,prod4
1403,1.3902386,155,15.95917,prod4
1404,1.1029336,139,-17.731369,prod4
1405,1.3380386,155,15.88335,prod4
1406,1.1859919,155,15.574422,prod4
1407,1.0509307,155,15.90557,prod4
1408,1.8055043,155,15.938624,prod4
1409,1.7549007,155,16.758665,prod4
1410,0.85260355,155,15.393222,prod4
1411,0.76788086,155,15.641547,prod4
1412,0.73839647,155,15.678745,prod4
1413,0.80768925,155,15.749641,prod4
1414,1.5752622,155,15.753992,prod4
1415,0.69909716,155,15.3353195,prod4
1416,0.72822326,139,-19.146244,prod4
1417,1.0422648,155,16.668734,prod4
1418,1.4914804,139,-14.059993,prod4
1419,1.0023743,155,15.146796,prod4
1420,0.7244041,139,-16.211435,prod4
1421,0.8430518,139,-16.03373,prod4
1422,0.71145093,139,-12.180957,prod4
1423,-0.11449773,139,-13.244507,prod4
1424,1.0155556,139,-13.260902,prod4
1425,1.0557892,139,-13.334479,prod4
1426,0.9926401,139,-11.859614,prod4
1427,1.092598,139,-11.388714,prod4
1428,1.7978129,139,-14.740649,prod4
1429,1.4114306,139,-13.27547,prod4
1430,0.95229036,139,-14.86762,prod4
1431,1.6829906,139,-15.006564,prod4
1432,1.7753627,155,16.17604,prod4
1433,1.5208818,139,-14.287844,prod4
1434,1.573898,139,-14.752098,prod4
1435,2.638533,139,-13.787684,prod4
1436,1.735266,139,-15.079573,prod4
1437,1.774246,139,-16.111221,prod4
1438,0.9480722,139,-13.173403,prod4
1439,1.7980781,139,-15.300252,prod4
1440,1.6684406,139,-16.20328,prod4
1441,1.6831747,155,16.829239,prod4
1442,1.4267873,155,16.171097,prod4
1443,1.3754783,155,16.25639,prod4
1444,2.1203153,155,16.773394,prod4
1445,1.6509229,155,16.382902,prod4
1446,1.7637017,155,16.318563,prod4
1447,1.745984,155,16.860676,prod4
1448,1.4000406,155,16.745895,prod4
1449,2.5180452,155,17.137688,prod4
1450,3.1823564,155,18.065998,prod4
1451,2.4756122,155,17.505405,prod4
1452,2.6526878,155,16.459934,prod4
1453,2.0801334,155,17.07599,prod4
1454,1.7845426,155,14.610809,prod4
1455,2.5454552,155,16.99829,prod4
1456,3.0862715,155,14.103783,prod4
1457,3.4340205,155,17.004026,prod4
1458,2.9154034,155,16.96507,prod4
1459,2.4410791,155,15.889058,prod4
1460,1.944659,155,18.417398,prod4
1461,1.701192,155,16.237524,prod4
1462,2.0808501,155,17.697124,prod4
1463,2.8645463,155,18.118887,prod4
1464,3.2340996,155,19.49016,prod4
1465,3.055479,155,17.602932,prod4
1466,2.1662214,155,14.16413,prod4
1467,2.824286,155,14.751693,prod4
1468,2.3209236,155,15.882875,prod4
1469,1.941579,155,17.19318,prod4
1470,2.0155842,155,16.763655,prod4
1471,2.5717432,155,17.885233,prod4
1472,1.9548079,155,19.883904,prod4
1473,1.5653921,155,15.178158,prod4
1474,2.7946637,155,18.262236,prod4
1475,1.6976837,155,17.967192,prod4
1476,1.2740399,155,17.837696,prod4
1477,1.1651957,155,16.337276,prod4
1478,0.8001095,155,16.895367,prod4
1563,-0.7492238,106,17.303066,prod4
1565,-1.3377651,106,17.47555,prod4
1566,-0.33632874,106,15.6367,prod4
1567,-1.3552498,106,12.490495,prod4
1568,-0.47798344,106,10.37113,prod4
1569,-0.43621448,106,10.528729,prod4
1570,0.17411606,106,10.385112,prod4
1571,-0.44202578,106,11.045423,prod4
1572,-0.72084725,106,9.97733,prod4
1573,-0.8031052,106,10.828881,prod4
1574,-1.7809193,39,-14.583281,prod4
1575,-1.6863694,39,-15.426321,prod4
1576,-1.0471303,39,-15.120655,prod4
1577,-1.2346679,39,-14.357439,prod4
1578,-0.888313,39,-19.246847,prod4
1579,-1.256856,39,-19.292864,prod4
1580,-1.548278,39,-18.65564,prod4
1581,-1.2267882,39,-13.627919,prod4
1582,-1.2166561,39,-13.804699,prod4
1583,-1.2351542,39,-16.608765,prod4
1584,-1.7328392,39,-18.389853,prod4
1585,-1.9886874,106,13.528822,prod4
1586,-1.6908642,106,9.588728,prod4
1587,-2.4878178,106,8.359676,prod4
1588,-1.9609345,39,-20.696142,prod4
1589,-1.5803217,39,-16.326586,prod4
1590,-2.2067683,39,-19.410847,prod4
1591,-2.8047519,106,8.245157,prod4
1592,-2.4839659,106,9.490245,prod4
1593,-2.487219,106,8.981766,prod4
1594,-2.4008846,39,-18.025047,prod4
1595,-2.1408648,39,-15.273907,prod4
1596,-2.4435043,39,-14.929265,prod4
1597,-2.531236,39,-17.615551,prod4
1598,-2.4333403,39,-14.4947195,prod4
1599,-2.6807675,39,-13.888321,prod4
1600,-2.96999,39,-16.177477,prod5
1601,-2.611426,39,-15.882998,prod5
1602,-2.7721028,39,-17.543413,prod5
1603,-2.233536,39,-19.784548,prod5
1604,-1.9616855,106,14.736271,prod5
1605,-1.5505333,106,17.275043,prod5
