Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
33,none,none,none,,none,5.11,6.77,1.06,-1.42,0.29,1.13,0.39,0.5,-0.45,-0.36,0.42,0.01,-1.09,-0.06,-0.42,0.35,-0.14,0.39,0.43,0.16,0.26,0.17,0.51,-0.27,-0.19,0.57,0.15,-0.4,-0.65,0.07,-1.24,-0.33,0.04,0.22,-0.57,0.09,0.07,0.07,-0.0,0.34,-0.3,-0.14,0.13,-0.19,0.02
34,none,none,none,,none,5.5,8.21,1.01,-1.24,0.23,0.9,0.65,1.15,-0.72,-1.06,-0.12,-0.37,0.41,0.93,-0.35,0.13,0.29,-0.33,1.35,0.48,0.38,-0.26,0.73,0.08,0.33,0.08,-0.12,-0.28,-0.07,-0.16,-0.88,0.1,-0.5,0.06,-0.57,0.51,0.03,0.02,-0.15,0.34,-0.46,0.07,-0.06,-0.05,0.06
35,-6.577258,98.0,-20.666355,prod1,-14.09,5.68,5.75,1.14,-1.28,-0.45,1.34,0.97,1.07,-0.71,-0.93,0.39,0.41,0.83,0.37,0.01,0.01,0.2,-0.66,-0.21,-0.69,0.45,0.23,0.14,-0.72,-0.57,-0.02,-0.14,-0.14,0.16,0.12,-0.15,-0.76,-0.48,-0.32,-0.51,0.03,-0.38,-0.14,0.26,-0.09,-0.53,0.11,0.21,0.03,0.03
36,-6.4673433,98.0,-25.913471,prod1,-19.45,5.63,6.47,1.01,-1.22,-0.17,1.12,0.86,1.55,-0.0,-0.08,-0.12,-0.44,-0.24,0.64,0.29,0.21,-0.14,-0.16,0.4,-0.79,0.64,-0.07,0.61,-0.85,-0.1,-0.45,-0.39,0.28,-0.44,0.23,-0.61,-0.62,0.02,0.07,0.06,0.24,-0.19,-0.07,-0.04,-0.15,-0.17,0.04,0.04,0.04,-0.01
37,none,none,none,,none,4.41,6.09,1.17,-1.28,-0.45,1.03,0.75,1.05,0.23,-0.27,0.16,-0.12,-0.21,0.31,-0.16,0.01,-0.11,0.16,0.79,0.41,0.59,0.05,-0.41,-0.49,-0.18,-0.18,0.15,-0.16,0.22,-0.02,-0.17,-0.15,0.1,-0.14,-0.21,-0.32,0.25,0.22,-0.14,-0.02,-0.08,0.1,0.2,-0.02,0.02
38,none,none,none,,none,5.04,7.3,1.07,-1.31,-0.35,1.32,0.78,0.22,-0.89,-0.45,0.06,-0.56,-0.18,-0.44,-0.5,-0.17,0.56,0.1,1.64,-0.44,0.74,-0.21,0.03,0.14,-0.29,-0.19,-0.24,0.12,0.35,-0.19,-0.28,-0.1,-0.17,-0.19,-0.27,0.08,-0.07,0.21,-0.14,-0.01,-0.22,0.05,-0.25,0.16,-0.01
39,none,none,none,,none,4.49,6.71,1.18,-1.13,-0.5,1.69,-0.23,0.61,-0.36,-1.72,-0.4,0.78,-0.21,-0.1,-0.05,0.48,1.01,-0.14,0.75,-1.26,0.27,0.58,0.22,-0.15,-0.56,0.33,-0.39,-0.07,-0.03,0.27,-0.62,-0.15,-0.06,0.04,0.3,0.19,-0.1,0.07,0.16,0.3,-0.41,-0.12,-0.21,-0.21,0.02
40,none,none,none,,none,3.57,7.5,1.18,-0.93,-0.35,1.2,0.62,1.48,0.26,-1.58,-0.37,-0.4,0.39,0.76,1.36,0.06,1.08,-0.84,1.18,-0.69,-0.23,-0.17,0.15,-0.41,-0.22,0.15,-0.36,-0.35,0.19,-0.25,-0.56,0.22,-0.51,0.3,0.0,-0.13,-0.07,-0.12,0.0,0.28,0.09,0.18,-0.08,0.1,0.16
41,none,none,none,,none,3.31,6.11,1.25,-1.32,-0.5,1.14,0.38,0.65,0.58,-0.37,0.22,-0.26,-0.09,-0.22,1.35,-0.09,0.56,-0.15,0.51,-0.16,-0.14,-0.17,0.05,-0.33,-0.59,0.18,-0.22,-0.83,-0.03,-0.39,-0.42,0.34,0.16,0.41,-0.24,-0.1,0.19,0.04,-0.28,0.24,-0.02,0.18,-0.0,-0.26,-0.19
42,none,none,none,,none,4.21,6.98,1.24,-1.13,-0.53,1.08,0.34,0.63,0.22,-1.32,-0.36,0.22,-0.03,0.07,0.91,-0.21,0.28,-0.56,0.79,-0.16,0.13,0.35,0.54,-0.36,-0.1,0.87,-0.19,-0.12,-0.04,-0.11,-0.36,-0.54,-0.02,0.08,0.04,0.4,0.2,0.33,-0.06,0.15,-0.34,-0.28,-0.21,-0.06,-0.23
