Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
37,-5.033694,174.0,-21.369596,prod1,-16.34,3.87,5.98,1.46,-0.57,-0.35,-0.19,0.24,1.44,-1.11,-0.51,-0.22,-0.02,0.72,0.46,0.46,-0.72,-0.66,0.17,-0.21,-0.14,-0.27,0.05,-0.38,-0.1,0.51,0.16,0.15,-0.07,0.17,-0.11,0.49,-0.21,0.04,0.36,0.04,0.13,-0.11,0.01,0.05,0.13,0.03,-0.08,-0.17,-0.03,-0.09
38,-5.393146,174.0,-22.358187,prod1,-16.97,4.38,6.38,1.35,-0.41,-0.23,0.57,0.43,1.23,-1.31,0.26,0.85,-0.36,1.27,0.12,0.24,-0.46,-0.55,0.64,-0.05,-0.53,0.24,-0.59,-0.51,-0.76,0.3,-0.09,0.18,-0.1,-0.03,0.43,0.22,0.38,0.36,-0.18,0.02,-0.21,-0.04,0.11,0.15,-0.21,0.01,-0.17,-0.11,0.15,0.08
39,-4.9160695,174.0,-15.85061,prod1,-10.93,3.87,6.56,1.39,-0.9,-0.74,0.63,0.74,1.23,-1.08,-0.79,1.38,-0.09,1.65,0.11,-0.19,-0.37,-0.37,0.14,-0.02,-0.42,0.27,0.46,-0.03,-0.32,0.14,0.14,0.78,-0.24,0.14,0.08,0.02,-0.09,0.12,0.04,-0.11,-0.25,-0.06,-0.21,-0.0,0.35,-0.12,-0.22,-0.04,0.13,-0.06
40,-5.1397667,174.0,-14.650875,prod1,-9.51,4.33,7.14,1.41,-0.71,-0.13,0.17,1.35,1.09,-1.65,-0.59,0.48,0.07,1.17,0.42,0.7,-0.14,-0.06,0.01,0.07,-0.7,0.17,0.19,0.2,-0.64,-0.08,0.1,0.05,0.25,0.02,0.18,-0.19,0.27,-0.08,0.06,-0.0,0.06,-0.11,-0.24,0.23,0.14,-0.01,-0.01,-0.14,0.01,-0.16
41,-4.700301,174.0,-14.971268,prod1,-10.27,3.64,7.36,1.42,-0.55,-0.51,0.21,0.66,1.12,-1.51,-0.48,0.64,-0.56,1.14,-0.33,1.16,-0.63,-0.24,0.7,-0.16,-0.61,-0.11,0.04,-0.12,-0.18,-0.07,0.56,0.01,-0.09,-0.46,-0.06,-0.09,0.4,0.02,0.26,0.05,-0.21,0.12,-0.18,0.03,0.36,0.02,-0.06,0.14,-0.0,-0.11
42,-5.4946823,174.0,-15.237132,prod1,-9.74,4.39,6.82,1.28,-0.84,-0.43,0.26,1.07,1.02,-1.59,0.08,0.13,-0.31,0.72,0.31,0.81,-0.55,-0.04,0.41,0.37,-0.85,0.64,0.18,-0.16,-0.36,-0.28,0.21,0.49,-0.39,-0.06,0.08,-0.01,-0.2,0.18,-0.18,0.15,-0.04,0.06,-0.05,0.09,0.39,-0.16,-0.09,0.26,0.07,0.0
43,-5.0009146,174.0,-11.850038,prod1,-6.85,4.02,6.76,1.36,-0.62,-0.46,0.46,0.77,0.94,-2.17,-0.25,0.83,-0.51,1.22,0.02,-0.0,-0.72,-0.04,0.4,-0.2,-0.34,0.91,0.05,-0.34,-0.94,0.21,0.35,0.44,-0.01,0.12,-0.02,-0.05,0.19,0.27,-0.06,-0.02,-0.12,0.46,0.07,0.08,-0.04,-0.08,0.12,0.01,0.04,0.12
44,-5.1373396,174.0,-12.228881,prod1,-7.09,4.51,7.13,1.38,-0.6,-0.18,-0.25,0.98,1.23,-1.68,-0.16,0.24,-1.37,0.68,0.33,0.51,-0.59,-0.77,0.8,0.27,-0.64,0.24,-0.26,-0.58,-1.17,-0.03,0.23,0.31,-0.11,0.17,0.17,-0.63,-0.15,0.28,0.57,-0.4,0.01,0.07,-0.1,-0.0,0.04,-0.14,-0.08,0.21,-0.28,-0.05
45,-4.5103483,174.0,-11.744832,prod1,-7.23,4.73,7.11,1.33,-0.43,-0.18,-0.02,1.15,1.34,-1.26,-0.12,0.87,-1.05,1.22,0.38,0.1,-1.11,-0.75,0.79,0.6,-0.42,0.47,-0.29,-0.56,-0.22,-0.6,0.13,0.32,-0.19,0.25,0.04,-0.08,-0.27,0.06,0.44,-0.21,-0.05,-0.01,-0.12,-0.3,0.12,-0.0,-0.15,-0.11,0.05,-0.03
46,-4.79423,174.0,-10.186684,prod1,-5.39,5.31,5.75,1.23,-0.86,-0.19,-0.05,1.17,1.25,-1.3,0.01,0.15,-0.67,0.8,0.57,0.43,-0.38,-1.05,0.7,-0.55,-0.06,0.4,0.58,-0.74,-0.83,0.13,-0.26,0.04,-0.17,0.53,0.32,0.03,-0.11,-0.14,0.0,0.03,0.14,-0.11,0.02,0.06,-0.12,-0.18,0.2,-0.03,0.21,0.02
