Frame,Z_coord_n1,na_res,Z_coord_na,prod
512,-3.3167531,52,-20.128906,prod2
513,-2.7177036,204,-19.0744,prod2
514,-2.7886713,204,-18.382034,prod2
515,-2.2307754,204,-16.683365,prod2
516,-2.573487,204,-20.344927,prod2
517,-2.7281752,204,-18.761772,prod2
519,-2.761604,204,-20.373373,prod2
522,-2.5312629,52,-17.176323,prod2
523,-2.7888176,52,-15.380688,prod2
524,-2.6546476,52,-11.4246855,prod2
525,-2.1931562,52,-10.264966,prod2
526,-1.4804752,52,-10.707861,prod2
527,-1.7871357,52,-11.711719,prod2
528,-1.5767366,52,-15.325443,prod2
529,-1.8019184,52,-12.4936695,prod2
530,-2.1618197,52,-13.162452,prod2
531,-2.0029528,52,-14.917981,prod2
532,-1.4441379,52,-16.174318,prod2
533,-1.8774949,52,-12.009247,prod2
534,-2.2573762,52,-12.238344,prod2
535,-2.0166175,52,-15.112264,prod2
536,-1.7330093,52,-11.50975,prod2
537,-1.7135311,52,-14.32424,prod2
538,-2.2543223,52,-16.552956,prod2
539,-2.5198865,52,-16.959934,prod2
540,-2.5874085,52,-17.785526,prod2
541,-2.5871625,52,-16.538294,prod2
542,-3.0702171,52,-16.288624,prod2
543,-2.9309874,52,-16.095713,prod2
544,-2.5474162,32,-19.444784,prod2
545,-1.9797027,52,-15.796313,prod2
546,-2.0258887,52,-13.813468,prod2
547,-2.882883,32,-19.355291,prod2
548,-2.6086886,52,-14.415066,prod2
549,-3.1511776,52,-14.269455,prod2
550,-3.701537,52,-12.780406,prod2
551,-3.896469,52,-12.897008,prod2
552,-3.5539987,52,-14.377694,prod2
553,-3.450191,52,-12.446215,prod2
554,-3.2248,52,-13.563043,prod2
555,-3.551203,52,-11.411136,prod2
556,-3.4540565,52,-10.951509,prod2
557,-2.8362725,52,-9.011478,prod2
558,-3.5154133,52,-11.600255,prod2
559,-3.4728076,52,-11.74245,prod2
560,-2.7876797,52,-11.846878,prod2
561,-3.1965692,52,-11.888489,prod2
562,-2.5794792,52,-10.847368,prod2
563,-3.2080188,52,-12.410872,prod2
564,-3.3624246,52,-13.254587,prod2
565,-3.266287,52,-14.842943,prod2
566,-4.1687627,52,-16.711603,prod2
567,-3.7699149,52,-15.748522,prod2
568,-3.319395,52,-14.260997,prod2
569,-3.2313209,52,-16.476818,prod2
570,-3.496564,52,-16.005085,prod2
571,-3.364882,52,-15.763729,prod2
572,-2.5262897,52,-12.674953,prod2
573,-3.5344145,52,-12.621322,prod2
574,-4.092873,52,-15.046491,prod2
575,-4.5330405,52,-13.433129,prod2
576,-4.0454807,52,-14.490755,prod2
577,-3.5263844,52,-13.548868,prod2
578,-3.5518403,52,-13.177266,prod2
579,-3.316515,52,-15.130128,prod2
580,-3.7829456,52,-16.521204,prod2
581,-3.5399108,52,-14.03916,prod2
582,-3.5014691,52,-14.370445,prod2
583,-3.2572472,52,-14.429372,prod2
584,-3.504361,52,-13.991952,prod2
585,-2.3226848,52,-13.412945,prod2
586,-2.372269,52,-11.604038,prod2
587,-2.457206,52,-12.039092,prod2
588,-2.8501391,52,-11.132056,prod2
589,-2.7099571,52,-13.025674,prod2
590,-2.5010545,52,-17.160118,prod2
591,-2.0104675,52,-16.128098,prod2
592,-2.0797126,52,-14.197422,prod2
593,-2.4709768,52,-13.13602,prod2
594,-2.52453,52,-11.647008,prod2
595,-2.7500648,52,-11.893796,prod2
596,-3.0066833,52,-10.374432,prod2
597,-3.1297324,52,-13.184619,prod2
598,-2.9395282,52,-11.671777,prod2
599,-2.5883784,52,-13.041176,prod2
600,-1.7740428,52,-15.026816,prod2
601,-2.0608172,52,-13.739915,prod2
602,-1.6925414,52,-13.421857,prod2
603,-2.3615208,52,-13.819722,prod2
604,-2.0119872,52,-13.156714,prod2
605,-2.3534544,52,-14.610156,prod2
606,-2.1022296,52,-12.214228,prod2
607,-2.010634,52,-13.25771,prod2
608,-1.7743205,52,-15.229658,prod2
609,-2.2259033,52,-12.25346,prod2
610,-2.4110718,52,-13.200101,prod2
611,-2.5575438,52,-12.982961,prod2
612,-3.0147665,52,-12.005667,prod2
613,-3.079283,52,-12.64901,prod2
614,-2.508817,52,-12.093274,prod2
615,-2.8540459,52,-12.955063,prod2
616,-4.026863,52,-14.690082,prod2
617,-4.4610753,52,-15.679315,prod2
618,-4.267579,52,-15.842227,prod2
619,-4.5741744,52,-13.680197,prod2
620,-4.566923,52,-16.326212,prod2
621,-4.725786,52,-15.874222,prod2
622,-4.7639146,52,-15.180796,prod2
623,-4.5077095,52,-14.19967,prod2
624,-4.203011,52,-12.033874,prod2
625,-4.294494,52,-13.175561,prod2
626,-4.361118,52,-12.774236,prod2
627,-4.8158207,52,-14.020358,prod2
628,-4.4472456,52,-13.403051,prod2
629,-4.53516,52,-13.274082,prod2
630,-4.3440886,52,-12.706109,prod2
631,-3.7810984,52,-12.927073,prod2
632,-3.3074734,52,-12.722589,prod2
633,-4.2140613,52,-13.704968,prod2
634,-5.2944436,52,-15.365196,prod2
635,-4.4507008,52,-13.788508,prod2
636,-5.128392,52,-14.461268,prod2
637,-5.065229,52,-16.876608,prod2
638,-5.3923783,52,-15.085695,prod2
639,-5.353547,52,-16.095343,prod2
640,-5.1253963,52,-14.234634,prod2
641,-5.686171,52,-12.717646,prod2
642,-5.4482183,52,-13.070417,prod2
643,-5.139526,52,-13.174892,prod2
644,-4.684263,52,-14.439803,prod2
645,-5.513967,52,-14.114238,prod2
646,-5.5152154,52,-15.724276,prod2
647,-5.304571,52,-14.2030735,prod2
648,-5.254251,52,-11.192654,prod2
649,-5.3577166,52,-15.140263,prod2
650,-5.418539,52,-14.920739,prod2
651,-6.0768127,52,-15.206791,prod2
652,-5.782202,52,-17.370111,prod2
653,-5.376541,52,-16.302399,prod2
654,-6.0007806,52,-15.124282,prod2
655,-5.440005,52,-14.078165,prod2
656,-5.8085995,52,-13.545974,prod2
657,-5.579205,52,-10.503403,prod2
658,-5.985108,52,-10.729088,prod2
659,-5.6681156,52,-10.68817,prod2
660,-5.99205,52,-10.630026,prod2
661,-5.3460307,52,-10.255952,prod2
662,-5.6284604,52,-10.637117,prod2
663,-5.040956,52,-10.546099,prod2
664,-5.8267603,52,-11.407343,prod2
665,-5.4116187,52,-12.23217,prod2
666,-5.2579,52,-10.250746,prod2
667,-4.6621227,52,-10.316888,prod2
668,-5.0989814,52,-10.183258,prod2
669,-4.79475,52,-9.761692,prod2
670,-4.6196995,52,-8.061345,prod2
671,-4.410664,52,-7.7851133,prod2
672,-4.6997404,52,-8.261698,prod2
673,-5.2991557,52,-8.262541,prod2
674,-5.301213,52,-7.8325067,prod2
675,-5.5225835,52,-10.9455805,prod2
676,-6.114298,52,-9.81154,prod2
677,-6.0570464,52,-11.404339,prod2
678,-5.644349,52,-9.100219,prod2
679,-5.781068,52,-11.068344,prod2
680,-6.3300753,52,-11.444504,prod2
681,-6.336198,52,-11.26291,prod2
682,-6.0541363,52,-11.754819,prod2
683,-5.746518,52,-11.408249,prod2
684,-5.9030156,52,-10.702931,prod2
685,-6.3051043,52,-12.3526,prod2
686,-5.7802157,52,-10.275492,prod2
687,-6.4937897,52,-8.974671,prod2
688,-7.00364,52,-8.772611,prod2
689,-6.9103346,52,-7.695187,prod2
690,-6.4530025,52,-8.030256,prod2
691,-6.573881,52,-7.28687,prod2
692,-6.8727083,52,-8.077344,prod2
693,-5.9748898,52,-6.6779327,prod2
694,-6.781701,52,-7.36721,prod2
695,-5.5066996,52,-6.1579065,prod2
696,-5.543497,52,-6.2531323,prod2
697,-6.05976,52,-6.9101825,prod2
698,-5.845523,52,-6.7079387,prod2
699,-6.196635,52,-7.139454,prod2
700,-5.707115,52,-6.4668975,prod2
701,-5.5837393,52,-6.9961863,prod2
702,-6.0540266,52,-5.7661324,prod2
703,-5.943686,52,-4.1315875,prod2
704,-5.900857,52,-6.4293375,prod2
705,-5.8976574,52,-6.651198,prod2
706,-6.1462584,52,-7.0247827,prod2
707,-5.555221,52,-6.2079096,prod2
708,-5.665068,52,-6.2851777,prod2
709,-5.5985456,52,-6.763843,prod2
710,-6.1365156,52,-6.6625257,prod2
711,-5.4263906,35,-22.833174,prod2
712,-5.2586093,35,-23.3424,prod2
713,-5.1259623,35,-23.046001,prod2
714,-5.523811,35,-23.184313,prod2
715,-5.986011,35,-22.90186,prod2
716,-5.9765873,35,-20.553452,prod2
717,-5.4728484,35,-20.329845,prod2
718,-5.4144373,35,-20.114481,prod2
719,-4.842285,35,-19.17353,prod2
720,-5.123061,35,-19.893572,prod2
721,-5.439998,52,-6.2668867,prod2
722,-5.6709886,52,-6.4495196,prod2
723,-6.4054027,35,-20.990768,prod2
724,-5.786744,52,-6.4674196,prod2
725,-5.9908752,52,-7.10765,prod2
726,-6.0732875,52,-6.61865,prod2
727,-5.6094847,52,-6.3099504,prod2
728,-5.139702,52,-6.024612,prod2
729,-4.443916,52,-5.6556525,prod2
730,-5.0597496,52,-5.8879166,prod2
731,-4.9841857,52,-6.290042,prod2
732,-5.0634937,52,-5.640137,prod2
733,-4.613599,52,-5.5110455,prod2
734,-5.0212564,52,-5.447508,prod2
735,-4.421005,52,-5.259835,prod2
736,-4.9973073,52,-5.8660617,prod2
737,-4.2430253,52,-4.7707753,prod2
738,-4.7635026,52,-5.7292457,prod2
739,-3.864403,52,-4.984549,prod2
740,-4.0723433,52,-5.420301,prod2
741,-3.7408662,52,-5.084602,prod2
742,-4.7664685,52,-5.8525376,prod2
743,-5.047574,52,-6.0262127,prod2
744,-5.225236,52,-6.464301,prod2
745,-5.296276,52,-6.9900336,prod2
746,-5.43451,52,-6.0253053,prod2
